team,jan,feb,mar,apr,may,jun,jul,aug,sep,q3_avg
收货组,1.045256,1.01294545454545,1.04702666666667,1.07924827586207,1.17692631578947,1.09102692307692,1.01916551724138,1.056,1.26273333333333,1.11263295019157
仓储一部-组（2楼）,1.47372,0.966916666666667,1.18141290322581,1.42216,1.38558,1.33863,0.952777419354839,1.30992857142857,1.11645,1.12638533026114
仓储一部二组（3楼,,,,0.9047,1.124085,1.23882068965517,1.022568,1.12724285714286,1.10313666666667,1.08431584126984
仓储一部-5楼,,,,,1.2219875,1.23568666666667,1.09279230769231,,,
仓储一部三组（4楼）,1.221768,0.94334347826087,1.01572903225806,1.15276666666667,1.321745,1.3279,1.09648064516129,1.45735714285714,1.20274333333333,1.25219370711725
品管部-4楼（一组）,1.48610909090909,1.322875,1.43338333333333,1.53902413793103,1.56971666666667,1.4762275862069,1.25425333333333,1.42001428571429,1.3286,1.33428920634921
品管部-2楼（三组）,,,,,1.58276153846154,1.70696333333333,1.45714827586207,1.28587142857143,1.28596551724138,1.34299507389163
品管部-6楼（二组,,,,,1.51806153846154,1.55881034482759,1.40632592592593,1.34278571428571,,1.37455582010582
入库组,1.475976,1.2961375,1.493,1.92514333333333,1.53891,1.58913666666667,1.25610322580645,1.545,1.65523,1.48544440860215
仓储一部,1.40332,0.911516666666667,1.35443225806452,1.37975,1.751285,1.71786666666667,1.33456774193548,1.7102,1.63573333333333,1.5601670250896
仓储二部,0.962776,0.661052173913043,1.31621666666667,1.35872,1.60715,1.43221333333333,1.39428709677419,1.53331428571429,1.13298666666667,1.35352934971838
收货组,,,,1.21075294117647,1.233065,1.26116,1.33888064516129,1.39245714285714,1.28193793103448,1.33775857301764
质检（品管）,1.447984,0.97085,1.32105666666667,1.21617,1.18811,1.20651,1.16329032258065,1.1244,1.07122,1.11963677419355
